"Magnetic field H in Oe","Frequency f in Hz","Real part","Imaginary part"
"-50.099999999999994","390261000","0.6089884959047046","0.15657761572170315"
"-50.099999999999994","405259500","0.6135144156956446","0.15654716661935736"
"-50.099999999999994","450255000","0.6346316477864441","0.15512349047083948"
"-50.099999999999994","465253500","0.6394237810256224","0.1550554030453077"
"-50.099999999999994","510249000","0.6579511676820364","0.1540388720805391"
"-50.099999999999994","420258000","0.6199459073776173","0.15390002041833745"
"-50.099999999999994","345265500","0.5877721501292767","0.15370487615044884"
"-50.099999999999994","375262500","0.6017236966702294","0.15362742243539038"
"-50.099999999999994","435256500","0.6293807240579631","0.15358662559636937"
"-50.099999999999994","2160084000","0.6507266508571589","0.1534911555727205"
"-50.099999999999994","480252000","0.6453541932801652","0.15309442516783456"
"-50.099999999999994","495250500","0.6531999346570018","0.1525878336482982"
"-50.099999999999994","360264000","0.5932069604415396","0.15198650401610997"
"-50.099999999999994","2100090000","0.6253635919944693","0.15194264685093867"
"-50.099999999999994","525247500","0.662293663465618","0.15139474669631128"
"-50.099999999999994","2115088500","0.6310338531904119","0.1503448798651346"
"-50.099999999999994","330267000","0.5826255338385578","0.15019031971153102"
"-50.099999999999994","540246000","0.6692039299845532","0.14937641118402345"
"-50.099999999999994","2145085500","0.6473627396925556","0.14881153205010356"
"-50.099999999999994","2175082500","0.6560796132513849","0.14858000314786968"
"-50.099999999999994","555244500","0.6751435354569366","0.1477543297557863"
"-50.099999999999994","570243000","0.6796693596373172","0.14689672294477651"
"-50.099999999999994","315268500","0.5727988980331398","0.14604826831390047"
"-50.099999999999994","2130087000","0.6391866721963766","0.14591430662089225"
"-50.099999999999994","300270000","0.5651036756617301","0.14460399674411198"
"-50.099999999999994","285271500","0.5579016800024684","0.1441458727076843"
"-50.099999999999994","2085091500","0.6203651594397301","0.14400620758074806"
"-50.099999999999994","2205079500","0.6727526705161122","0.1439186977783884"
"-50.099999999999994","585241500","0.6841960936436937","0.14382130388143366"
"-50.099999999999994","2220078000","0.673451895408465","0.14359790335126982"
"-50.099999999999994","2190081000","0.6670717719386237","0.14277836104662625"
"-50.099999999999994","2055094500","0.6061433573613644","0.14187736198207154"
"-50.099999999999994","615238500","0.6950276931327202","0.14171133346639445"
"-50.099999999999994","600240000","0.6895384847820887","0.1413672864321298"
"-50.099999999999994","630237000","0.6994544629307223","0.13954253753170162"
"-50.099999999999994","2070093000","0.6117405532896724","0.13911829665210532"
"-50.099999999999994","270273000","0.5523828513997174","0.1379981497347255"
"-50.099999999999994","2040096000","0.6043369761013129","0.13680830774728753"
"-50.099999999999994","645235500","0.7029265450139244","0.13551619553925243"
"-50.099999999999994","2235076500","0.681134773563558","0.13472237781161872"
"-50.099999999999994","255274500","0.541883111456157","0.1333772308788106"
"-50.099999999999994","660234000","0.7079261000054824","0.1333306605671591"
"-50.099999999999994","675232500","0.7126739398604002","0.13297149688262566"
"-50.099999999999994","240276000","0.5349612412210445","0.13203981842546772"
"-50.099999999999994","2265073500","0.6916301777531875","0.1292771749896664"
"-50.099999999999994","690231000","0.7155158351020794","0.12906638511668198"
"-50.099999999999994","2250075000","0.6905959875652101","0.12751940219523192"
"-50.099999999999994","225277500","0.5295816801831377","0.12736827387640018"
"-50.099999999999994","2025097500","0.6003109304827005","0.12664632700963227"
"-50.099999999999994","2280072000","0.6927060127830161","0.12619715605831222"
"-50.099999999999994","705229500","0.7189451635799888","0.12610281836374237"
"-50.099999999999994","1995100500","0.5919579202869115","0.12544901462216412"
"-50.099999999999994","2970003000","0.6712886290433503","0.1241644245777989"
"-50.099999999999994","2010099000","0.5950046652021698","0.12393512238637226"
"-50.099999999999994","720228000","0.7247988207358412","0.12392903038079175"
"-50.099999999999994","2985001500","0.6670125324383568","0.12283828262408865"
"-50.099999999999994","2955004500","0.6729845938790859","0.1217552699979039"
"-50.099999999999994","3000000000","0.6738130492625348","0.12174475742018709"
"-50.099999999999994","735226500","0.7278368688849307","0.1213888479729582"
"-50.099999999999994","210279000","0.5230510233471172","0.12078929097266809"
"-50.099999999999994","750225000","0.730151986755212","0.11827256193512511"
"-50.099999999999994","2910009000","0.6658489914481108","0.11741940187858427"
"-50.099999999999994","2925007500","0.6604623415771116","0.11683037429374488"
"-50.099999999999994","1980102000","0.5926646687926154","0.11678026854088461"
"-50.099999999999994","2295070500","0.699926565932045","0.11649261640814804"
"-50.099999999999994","2940006000","0.6651009895271477","0.11585703659133031"
"-50.099999999999994","195280500","0.5146707456829482","0.11528814021552544"
"-50.099999999999994","765223500","0.7342734396795557","0.11370193910141513"
"-50.099999999999994","2895010500","0.6658502130638817","0.11200147597720891"
"-50.099999999999994","2850015000","0.6587129453192667","0.11132980476949066"
"-50.099999999999994","780222000","0.7386082581555136","0.11125165360320999"
"-50.099999999999994","180282000","0.5084804538616552","0.11106448688558741"
"-50.099999999999994","2865013500","0.6583552173369677","0.11023399998081793"
"-50.099999999999994","2880012000","0.6596801141893622","0.10938981823230841"
"-50.099999999999994","795220500","0.741115673595972","0.10873747897615277"
"-50.099999999999994","2325067500","0.7088059959839913","0.108173546806955"
"-50.099999999999994","1965103500","0.5883156010609197","0.10791352279608431"
"-50.099999999999994","2310069000","0.707409368104739","0.10756763400289311"
"-50.099999999999994","1950105000","0.585489231758564","0.10612223362205005"
"-50.099999999999994","1935106500","0.586687189524296","0.10561045366272392"
"-50.099999999999994","2835016500","0.6595393506438854","0.10524507450010585"
"-50.099999999999994","810219000","0.7439180132352177","0.10398179133800826"
"-50.099999999999994","165283500","0.5037085937485923","0.10351020656811555"
"-50.099999999999994","2805019500","0.652375995095183","0.10287912720281593"
"-50.099999999999994","2820018000","0.6517631173687835","0.10253724505721108"
"-50.099999999999994","2790021000","0.6538656577352502","0.1011023257376646"
"-50.099999999999994","825217500","0.7470642623885435","0.10062523914685109"
"-50.099999999999994","2340066000","0.7125526536686431","0.09972028272288809"
"-50.099999999999994","2775022500","0.6541397460255984","0.09748904365799026"
"-50.099999999999994","840216000","0.7499302088383049","0.09639328465951452"
"-50.099999999999994","2685031500","0.6512689305366351","0.09569646327440527"
"-50.099999999999994","2670033000","0.6467748256652671","0.09472001020530707"
"-50.099999999999994","1920108000","0.5893486208992355","0.09400057693595279"
"-50.099999999999994","2745025500","0.6505914550210362","0.09348081313197096"
"-50.099999999999994","150285000","0.495872363403928","0.09339355869885355"
"-50.099999999999994","2760024000","0.6492945788800695","0.09337716222061097"
"-50.099999999999994","855214500","0.7538270390162561","0.09326974006506498"
"-50.099999999999994","2730027000","0.6555847074321064","0.09200179035429341"
"-50.099999999999994","2715028500","0.6543922441639202","0.09022588439945962"
"-50.099999999999994","2700030000","0.6541014265117356","0.08922525608547795"
"-50.099999999999994","1890111000","0.5864047700459811","0.08876241544890696"
"-50.099999999999994","870213000","0.7548001351709953","0.08848586542260568"
"-50.099999999999994","135286500","0.4888699323424496","0.08686337769953356"
"-50.099999999999994","1905109500","0.5871934988777109","0.08615729520997893"
"-50.099999999999994","2655034500","0.6406375833327518","0.08576396607424487"
"-50.099999999999994","1875112500","0.5915019175477463","0.08557078619609568"
"-50.099999999999994","885211500","0.7577379555583996","0.0828749721636158"
"-50.099999999999994","2355064500","0.7196777156672783","0.08242822004379555"
